"","region","term","b_p_val"
"1","Africa","(Intercept)","0.259 ***"
"2","Africa","opportYes","0.083 ***"
"3","Africa","fearfailYes","-0.013 "
"4","Africa","suskillYes","0.104 ***"
"5","Africa","nbgoodcYes","0.014 "
"6","Africa","nbstatusYes","0.007 "
"7","Africa","nbmediaYes","0.017 ***"
"8","Africa","knowentYes","0.08 ***"
"9","Africa","genderFemale","-0.011 "
"10","Africa","age_group18-24","-0.019 "
"11","Africa","age_group35-44","-0.021 ***"
"12","Africa","age_group45-54","-0.052 ***"
"13","Africa","age_group55-64","-0.042 ***"
"14","Africa","GEMEDUCSOME SECONDARY","0.026 ***"
"15","Africa","GEMEDUCSECONDARY DEGREE","0.031 ***"
"16","Africa","GEMEDUCPOST SECONDARY","0.026 ***"
"17","Africa","GEMEDUCGRAD EXP","-0.011 "
"18","Africa","GEMWORKRetired","-0.108 ***"
"19","Africa","GEMWORKHomemaker","-0.083 ***"
"20","Africa","GEMWORKStudent","-0.16 ***"
"21","Africa","GEMWORKNot working","-0.125 ***"
"22","Africa","GEMHHINCLow","0.005 "
"23","Africa","GEMHHINCHigh","0.003 "
