"","region","term","b_p_val"
"1","Europe","(Intercept)","0.114 ***"
"2","Europe","opportYes","0.044 ***"
"3","Europe","fearfailYes","-0.031 ***"
"4","Europe","suskillYes","0.077 ***"
"5","Europe","nbgoodcYes","0.008 ***"
"6","Europe","nbstatusYes","0 "
"7","Europe","nbmediaYes","0.006 ***"
"8","Europe","knowentYes","0.063 ***"
"9","Europe","genderFemale","-0.021 ***"
"10","Europe","age_group18-24","0.003 "
"11","Europe","age_group35-44","-0.019 ***"
"12","Europe","age_group45-54","-0.035 ***"
"13","Europe","age_group55-64","-0.046 ***"
"14","Europe","GEMEDUCSOME SECONDARY","-0.011 "
"15","Europe","GEMEDUCSECONDARY DEGREE","-0.009 "
"16","Europe","GEMEDUCPOST SECONDARY","-0.004 "
"17","Europe","GEMEDUCGRAD EXP","0.007 "
"18","Europe","GEMWORKRetired","-0.024 ***"
"19","Europe","GEMWORKHomemaker","-0.006 "
"20","Europe","GEMWORKStudent","-0.041 ***"
"21","Europe","GEMWORKNot working","-0.002 "
"22","Europe","GEMHHINCLow","0.001 "
"23","Europe","GEMHHINCHigh","0.01 ***"
