"","region","term","b_p_val"
"1","Europe","(Intercept)","-6.829 ***"
"2","Europe","opportYes","0.573 ***"
"3","Europe","fearfailYes","-0.522 ***"
"4","Europe","suskillYes","1.487 ***"
"5","Europe","nbgoodcYes","0.184 "
"6","Europe","nbstatusYes","0.096 "
"7","Europe","nbmediaYes","0.089 "
"8","Europe","knowentYes","0.784 ***"
"9","Europe","genderFemale","-0.375 ***"
"10","Europe","age_group18-24","0.013 "
"11","Europe","age_group35-44","-0.213 "
"12","Europe","age_group45-54","-0.21 "
"13","Europe","age_group55-64","-0.695 ***"
"14","Europe","GEMEDUCSOME SECONDARY","-0.4 "
"15","Europe","GEMEDUCSECONDARY DEGREE","0.106 "
"16","Europe","GEMEDUCPOST SECONDARY","0.05 "
"17","Europe","GEMEDUCGRAD EXP","0.047 "
"18","Europe","GEMWORKRetired","-1.616 ***"
"19","Europe","GEMWORKHomemaker","-0.465 "
"20","Europe","GEMWORKStudent","-0.574 "
"21","Europe","GEMWORKNot working","0.105 "
"22","Europe","GEMHHINCLow","0.047 "
"23","Europe","GEMHHINCHigh","0.121 "
