"","region","term","b_p_val"
"1","North America","(Intercept)","-0.03 "
"2","North America","opportYes","0.093 ***"
"3","North America","fearfailYes","-0.039 ***"
"4","North America","suskillYes","0.137 ***"
"5","North America","nbgoodcYes","0.013 "
"6","North America","nbstatusYes","-0.002 "
"7","North America","nbmediaYes","0.001 "
"8","North America","knowentYes","0.133 ***"
"9","North America","genderFemale","-0.021 ***"
"10","North America","age_group18-24","-0.02 ***"
"11","North America","age_group35-44","-0.019 ***"
"12","North America","age_group45-54","-0.039 ***"
"13","North America","age_group55-64","-0.067 ***"
"14","North America","GEMEDUCSOME SECONDARY","0.03 ***"
"15","North America","GEMEDUCSECONDARY DEGREE","0.041 ***"
"16","North America","GEMEDUCPOST SECONDARY","0.054 ***"
"17","North America","GEMEDUCGRAD EXP","0.064 ***"
"18","North America","GEMWORKRetired","-0.068 ***"
"19","North America","GEMWORKHomemaker","-0.063 ***"
"20","North America","GEMWORKStudent","-0.086 ***"
"21","North America","GEMWORKNot working","-0.049 ***"
"22","North America","GEMHHINCLow","0.018 ***"
"23","North America","GEMHHINCHigh","0.004 "
