,Topic,Count,region,topic_names,topics
0,-1,1316,Africa,"['food', 'retail', 'beverage', 'grocery', 'restaurant', 'tobacco', 'non', 'tuckshop', 'specialized', 'fish']","[('food', 0.05435608226068094), ('retail', 0.0440957811839778), ('beverage', 0.04112899077603964), ('grocery', 0.04108036015015991), ('restaurant', 0.038430575865885705), ('tobacco', 0.03176109713142225), ('non', 0.03137843331056174), ('tuckshop', 0.031252150757829736), ('specialized', 0.02991764317986024), ('fish', 0.027660228150563508)]"
1,0,1252,Africa,"['breeding', 'sheep', 'poultry', 'goat', 'chicken', 'pig', 'ox', 'fatten', 'livestock', 'animal']","[('breeding', 0.18100069175101702), ('sheep', 0.13025581821990578), ('poultry', 0.10501838245800124), ('goat', 0.10142054694094017), ('chicken', 0.08059165434686892), ('pig', 0.07909902839187316), ('ox', 0.07071743124054677), ('fatten', 0.06764579351833061), ('livestock', 0.06049392020020696), ('animal', 0.05694549263194716)]"
2,1,566,Africa,"['cake', 'cereal', 'millet', 'bakery', 'bean', 'maize', 'rice', 'ice', 'pastry', 'corn']","[('cake', 0.08903810812208485), ('cereal', 0.07967015395216699), ('millet', 0.07707167383263645), ('bakery', 0.0680209994267401), ('bean', 0.05871086383779249), ('maize', 0.0583921821660354), ('rice', 0.05771332096854033), ('ice', 0.056684166188950086), ('pastry', 0.05441846225330723), ('corn', 0.05123298189312627)]"
3,2,496,Africa,"['vegetable', 'grow', 'melon', 'tuber', 'root', 'rice', 'agriculture', 'fruit', 'garden', 'onion']","[('vegetable', 0.17434410566524078), ('grow', 0.1640602656907082), ('melon', 0.11465326464390062), ('tuber', 0.11465326464390062), ('root', 0.11393734093528358), ('rice', 0.08589180676403337), ('agriculture', 0.07702774219467329), ('fruit', 0.06825511099622092), ('garden', 0.0486284221943634), ('onion', 0.04515496346619458)]"
4,3,473,Africa,"['clothing', 'clothes', 'textile', 'article', 'leather', 'footwear', 'garment', 'woman', 'loinclothes', 'specialized']","[('clothing', 0.15673263171590696), ('clothes', 0.1518940014284832), ('textile', 0.10297283546242982), ('article', 0.08716467477406661), ('leather', 0.08411763618523026), ('footwear', 0.07067406062762158), ('garment', 0.0666895015674172), ('woman', 0.06154150697314861), ('loinclothes', 0.05577753724223628), ('specialized', 0.05372126073411092)]"
5,4,420,Africa,"['repair', 'transport', 'motorcycle', 'car', 'taxi', 'motor', 'shoe', 'mechanic', 'spare', 'vehicle']","[('repair', 0.1320084414611127), ('transport', 0.10673047734579721), ('motorcycle', 0.09534807053290059), ('car', 0.08648604701277482), ('taxi', 0.08140276399091952), ('motor', 0.07304880648380287), ('shoe', 0.0715375861859626), ('mechanic', 0.06869369110228088), ('spare', 0.05567318611093627), ('vehicle', 0.05465304132488429)]"
0,-1,2985,Asia & Oceania,"['clothes', 'tailor', 'grocery', 'clothing', 'fashion', 'retail', 'household', 'local', 'wholesale', 'trading']","[('clothes', 0.07260161324527495), ('tailor', 0.07186526880167407), ('grocery', 0.0656591554432771), ('clothing', 0.060220418200626125), ('fashion', 0.05202818740155092), ('retail', 0.05158011277342051), ('household', 0.050585195262752326), ('local', 0.04324932213742191), ('wholesale', 0.04248892218387938), ('trading', 0.03951621150701122)]"
1,0,1955,Asia & Oceania,"['restaurant', 'cafee', 'restorant', 'province', 'bakery', 'food', 'household', 'cater', 'accommodation', 'thai']","[('restaurant', 0.0937339444538953), ('cafee', 0.06637514285731538), ('restorant', 0.05580981102192373), ('province', 0.05276807571285512), ('bakery', 0.04632966890771034), ('food', 0.04527166640516564), ('household', 0.04371156927723691), ('cater', 0.04195240816272522), ('accommodation', 0.040267517283489124), ('thai', 0.038736167824085684)]"
2,1,1222,Asia & Oceania,"['beverage', 'food', 'coffee', 'perfume', 'milk', 'drink', 'processing', 'cream', 'juice', 'cower']","[('beverage', 0.17903381394039394), ('food', 0.14245594242203652), ('coffee', 0.12085478743936927), ('perfume', 0.07706304619764272), ('milk', 0.06757421118440189), ('drink', 0.0570087281798713), ('processing', 0.05142981383781377), ('cream', 0.03791186348752901), ('juice', 0.037460525335218355), ('cower', 0.03375683212546505)]"
3,2,1134,Asia & Oceania,"['agriculture', 'fruit', 'vegetable', 'fish', 'farm', 'flower', 'chicken', 'farming', 'meat', 'animal']","[('agriculture', 0.10252524046992444), ('fruit', 0.08051956211846557), ('vegetable', 0.0796968270313504), ('fish', 0.07633605640938361), ('farm', 0.06836478921017061), ('flower', 0.056374147974766614), ('chicken', 0.05446110057276463), ('farming', 0.04167717624070402), ('meat', 0.0361115936724008), ('animal', 0.03564268941015212)]"
4,3,1063,Asia & Oceania,"['construction', 'furniture', 'building', 'material', 'build', 'design', 'decoration', 'art', 'interior', 'door']","[('construction', 0.09895091628877056), ('furniture', 0.09527123320613841), ('building', 0.06556604309834273), ('material', 0.05781088774992528), ('build', 0.0558992190247056), ('design', 0.04605491147282675), ('decoration', 0.042927098494699466), ('art', 0.0344788976650212), ('interior', 0.030987338991064987), ('door', 0.030652941198811984)]"
5,4,982,Asia & Oceania,"['car', 'motorcycle', 'repair', 'transportation', 'auto', 'workshop', 'spare', 'travel', 'transport', 'garage']","[('car', 0.12323185411827772), ('motorcycle', 0.07925551601060081), ('repair', 0.07357318370243056), ('transportation', 0.07045596392221329), ('auto', 0.06959259899488578), ('workshop', 0.06335509881607979), ('spare', 0.060989354330575146), ('travel', 0.054650813273183385), ('transport', 0.04664192248845575), ('garage', 0.04312992367663302)]"
0,-1,2336,Europe,"['construction', 'car', 'repair', 'building', 'transport', 'industry', 'manufacture', 'client', 'individual', 'work']","[('construction', 0.10780310682664712), ('car', 0.079713071100343), ('repair', 0.07315177815473746), ('building', 0.051344817322046564), ('transport', 0.04391633467886613), ('industry', 0.04199052974434163), ('manufacture', 0.0362782390255585), ('client', 0.034968021569502995), ('individual', 0.034883160904891554), ('work', 0.033743290898451725)]"
1,0,1299,Europe,"['domain', 'consultancy', 'legal', 'entity', 'client', 'financial', 'marketing', 'individual', 'consultant', 'advertising']","[('domain', 0.08624370233278943), ('consultancy', 0.07142178452701664), ('legal', 0.06308183340576921), ('entity', 0.058148592778695336), ('client', 0.056350355958604284), ('financial', 0.05620433546729916), ('marketing', 0.055380287502813194), ('individual', 0.042687185558246715), ('consultant', 0.03951818318407511), ('advertising', 0.03807403909339321)]"
2,1,1285,Europe,"['health', 'training', 'medical', 'sport', 'care', 'therapy', 'education', 'school', 'healthcare', 'language']","[('health', 0.07057513946335113), ('training', 0.06606922326031543), ('medical', 0.05879395174088589), ('sport', 0.057164469431670424), ('care', 0.05647146772708284), ('therapy', 0.04872867277975662), ('education', 0.04813082105125854), ('school', 0.04061076766376535), ('healthcare', 0.03688411175118659), ('language', 0.036750735371044986)]"
3,2,889,Europe,"['clothing', 'beauty', 'salon', 'clothes', 'cosmetic', 'craft', 'hairdresser', 'fashion', 'textile', 'jewelry']","[('clothing', 0.10268637568715713), ('beauty', 0.08409514676358175), ('salon', 0.07004492608134283), ('clothes', 0.06917301051309373), ('cosmetic', 0.06366909414146836), ('craft', 0.06274927604619951), ('hairdresser', 0.05787109686448203), ('fashion', 0.056298158473701024), ('textile', 0.056059154301110435), ('jewelry', 0.046795317381045254)]"
4,3,860,Europe,"['restaurant', 'food', 'grocery', 'coffee', 'catering', 'cafee', 'bakery', 'cater', 'cake', 'cafe']","[('restaurant', 0.18414069481583403), ('food', 0.10476876736732409), ('grocery', 0.08245487924935128), ('coffee', 0.07833043665684827), ('catering', 0.07449328780323444), ('cafee', 0.07245615108879669), ('bakery', 0.07161568377210648), ('cater', 0.06785162586671264), ('cake', 0.04711498231227021), ('cafe', 0.041296384190482816)]"
5,4,816,Europe,"['software', 'web', 'mobile', 'computer', 'information', 'technology', 'development', 'application', 'internet', 'game']","[('software', 0.14108912210805089), ('web', 0.10943329076449364), ('mobile', 0.0954649417253758), ('computer', 0.08831215076790638), ('information', 0.08218054009321671), ('technology', 0.08048358599214578), ('development', 0.07716221139315735), ('application', 0.0765937715845231), ('internet', 0.0685826934877059), ('game', 0.06850707556998858)]"
0,-1,1149,North America,"['food', 'beverage', 'ice', 'tobacco', 'preparation', 'cream', 'pastry', 'coffee', 'cake', 'snack']","[('food', 0.11544134147613802), ('beverage', 0.11239838892993421), ('ice', 0.10614074350809304), ('tobacco', 0.07127071260553015), ('preparation', 0.06872734562957705), ('cream', 0.05692714150260013), ('pastry', 0.054870754633755806), ('coffee', 0.05328629376199615), ('cake', 0.052930624665049227), ('snack', 0.04744231213804239)]"
1,0,914,North America,"['restaurant', 'food', 'bar', 'goods', 'truck', 'bath', 'shoeshine', 'washroom', 'eatery', 'gift']","[('restaurant', 0.08132679696593108), ('food', 0.05893978185832229), ('bar', 0.0537221736108765), ('goods', 0.04408482630454268), ('truck', 0.04301364251711898), ('bath', 0.031910402301484744), ('shoeshine', 0.030930801062342035), ('washroom', 0.030930801062342035), ('eatery', 0.02950085116180698), ('gift', 0.0259849086501089)]"
2,1,816,North America,"['clothing', 'shoe', 'clothes', 'jewelry', 'footwear', 'costume', 'accessory', 'textile', 'apparel', 'retail']","[('clothing', 0.15101024705548322), ('shoe', 0.1055525676359311), ('clothes', 0.08629169547462144), ('jewelry', 0.08466544553801675), ('footwear', 0.07412421709811538), ('costume', 0.07240702590496942), ('accessory', 0.0693265300610054), ('textile', 0.06500650239521746), ('apparel', 0.054915273177513366), ('retail', 0.05428479999890348)]"
3,2,785,North America,"['construction', 'craft', 'furniture', 'tailor', 'sewing', 'home', 'welding', 'wood', 'weld', 'contractor']","[('construction', 0.10901356552408535), ('craft', 0.08275562516060644), ('furniture', 0.06484693679506649), ('tailor', 0.052218904833325724), ('sewing', 0.049680136890525), ('home', 0.04500265061882894), ('welding', 0.04415485294753493), ('wood', 0.042836431564038366), ('weld', 0.041526862362976744), ('contractor', 0.04066435311709566)]"
4,3,591,North America,"['vegetable', 'tortilla', 'agriculture', 'fruit', 'chicken', 'farm', 'corn', 'meat', 'fresh', 'produce']","[('vegetable', 0.09759664196805128), ('tortilla', 0.07354356090256362), ('agriculture', 0.07318879525667395), ('fruit', 0.07317781571327414), ('chicken', 0.06546824136077924), ('farm', 0.06288146785744947), ('corn', 0.059258115699387576), ('meat', 0.05532617201168802), ('fresh', 0.0524569324220096), ('produce', 0.049649301111216904)]"
5,4,556,North America,"['computer', 'phone', 'mobile', 'hardware', 'internet', 'software', 'technology', 'marketing', 'repair', 'website']","[('computer', 0.14254240116235542), ('phone', 0.11727760764610923), ('mobile', 0.1053871030916429), ('hardware', 0.08922912495480535), ('internet', 0.08754237038063133), ('software', 0.0831428234882871), ('technology', 0.07262412306495221), ('marketing', 0.07062036582348147), ('repair', 0.06303733997305255), ('website', 0.04849130706630954)]"
0,0,2113,Latin America & Caribbean,"['restaurant', 'bakery', 'fastfood', 'food', 'drink', 'bar', 'distribution', 'establishment', 'nourishment', 'coffee']","[('restaurant', 0.0993117175913382), ('bakery', 0.07527893126319182), ('fastfood', 0.07099816450749495), ('food', 0.06484500634046053), ('drink', 0.04928897142340089), ('bar', 0.04762696964665771), ('distribution', 0.04718058739553993), ('establishment', 0.046874230386669706), ('nourishment', 0.04505739975152748), ('coffee', 0.04388867911172532)]"
1,-1,1781,Latin America & Caribbean,"['construction', 'craft', 'engineering', 'mining', 'industrial', 'build', 'mechanic', 'handicraft', 'contractor', 'material']","[('construction', 0.14769202045094842), ('craft', 0.06073654690373446), ('engineering', 0.05713676010225342), ('mining', 0.05481614486376702), ('industrial', 0.048210044452875966), ('build', 0.04790700721656881), ('mechanic', 0.04270179416008501), ('handicraft', 0.040289711473211434), ('contractor', 0.03965595579711126), ('material', 0.0386113355927504)]"
2,1,1531,Latin America & Caribbean,"['clothes', 'clothing', 'apparel', 'wear', 'manufacture', 'shoe', 'footwear', 'woman', 'textile', 'underwear']","[('clothes', 0.17394587127784517), ('clothing', 0.11961418793480695), ('apparel', 0.09442228266126465), ('wear', 0.06626925602152388), ('manufacture', 0.06578684082521398), ('shoe', 0.064049731509861), ('footwear', 0.06369096769173735), ('woman', 0.057265815154006625), ('textile', 0.046106552819593034), ('underwear', 0.04287767219012194)]"
3,2,1425,Latin America & Caribbean,"['advertising', 'consultancy', 'event', 'accounting', 'internet', 'marketing', 'selling', 'party', 'social', 'financial']","[('advertising', 0.06154315084110785), ('consultancy', 0.061364196683536265), ('event', 0.046851462810546106), ('accounting', 0.04663365164593699), ('internet', 0.04615988179482493), ('marketing', 0.041203085046843536), ('selling', 0.04054529730067253), ('party', 0.03851854301743424), ('social', 0.038318381263596414), ('financial', 0.03468945708339778)]"
4,3,1062,Latin America & Caribbean,"['agriculture', 'fruit', 'vegetable', 'cattle', 'greengrocery', 'livestock', 'fish', 'commercialization', 'agribusiness', 'farming']","[('agriculture', 0.20537743067383293), ('fruit', 0.12115979543825564), ('vegetable', 0.1009589350927888), ('cattle', 0.08143869268264665), ('greengrocery', 0.0776804091941224), ('livestock', 0.059408662128294716), ('fish', 0.05895909029979921), ('commercialization', 0.05877040528033413), ('agribusiness', 0.058658311122990005), ('farming', 0.05775842151361986)]"
5,4,886,Latin America & Caribbean,"['car', 'transport', 'transportation', 'workshop', 'delivery', 'motorcycle', 'repair', 'spare', 'bike', 'garage']","[('car', 0.2014259872715037), ('transport', 0.17334089203014244), ('transportation', 0.1086751829255225), ('workshop', 0.09499745716689247), ('delivery', 0.08517425386672006), ('motorcycle', 0.0795261504233957), ('repair', 0.06575794389490247), ('spare', 0.05933804605852979), ('bike', 0.05323805807681701), ('garage', 0.04696577112959562)]"
