,Topic,Count,region,topic_names,topics
0,-1,787,Africa,"['beverage', 'specialized', 'tobacco', 'non', 'food', 'predominate', 'retail', 'grocery', 'tuckshop', 'predominat']","[('beverage', 0.07075717217308188), ('specialized', 0.06583464526639356), ('tobacco', 0.06535841788673735), ('non', 0.06288559718247527), ('food', 0.06031352947278723), ('predominate', 0.052532842423511326), ('retail', 0.04959135548721191), ('grocery', 0.0494473302523886), ('tuckshop', 0.038421633810583423), ('predominat', 0.035000947835206915)]"
1,0,638,Africa,"['trade', 'tertiary', 'secondhand', 'street', 'retail', 'goods', 'vendor', 'grocery', 'miscellaneous', 'sector']","[('trade', 0.13645030305563904), ('tertiary', 0.10158029504688988), ('secondhand', 0.08762807085814507), ('street', 0.07598024725031559), ('retail', 0.07193928765707708), ('goods', 0.06998563876959261), ('vendor', 0.059346051130624695), ('grocery', 0.05091979732606249), ('miscellaneous', 0.04833769603318355), ('sector', 0.0472025677493331)]"
2,1,337,Africa,"['grow', 'vegetable', 'melon', 'root', 'tuber', 'rice', 'leafy', 'fruit', 'garden', 'agriculture']","[('grow', 0.18599600557202967), ('vegetable', 0.17754513769493555), ('melon', 0.12945753744480856), ('root', 0.12871169036781832), ('tuber', 0.12871169036781832), ('rice', 0.10151618677302024), ('leafy', 0.06541139031510995), ('fruit', 0.05699122839662944), ('garden', 0.05513084167547189), ('agriculture', 0.04949265887619701)]"
3,2,313,Africa,"['repair', 'spare', 'car', 'motorcycle', 'mechanic', 'shoe', 'motor', 'maintenance', 'bicycle', 'vehicle']","[('repair', 0.13463165726893012), ('spare', 0.10980079195992792), ('car', 0.0906762980647673), ('motorcycle', 0.07862531760082712), ('mechanic', 0.07101641589752128), ('shoe', 0.06423330029804636), ('motor', 0.06282465691373774), ('maintenance', 0.06159774797328604), ('bicycle', 0.059282700840555), ('vehicle', 0.057574969317481066)]"
4,3,308,Africa,"['clothes', 'clothing', 'woman', 'fardo', 'loinclothes', 'garment', 'dress', 'trade', 'curtain', 'fashion']","[('clothes', 0.19082886541727082), ('clothing', 0.14774923432792963), ('woman', 0.0733567920325763), ('fardo', 0.06938476356112953), ('loinclothes', 0.06363789264513456), ('garment', 0.06076939008634526), ('dress', 0.055392558014317854), ('trade', 0.04891917849673218), ('curtain', 0.039477927047432186), ('fashion', 0.03923190506436589)]"
5,4,269,Africa,"['breeding', 'chicken', 'livestock', 'poultry', 'fatten', 'sheep', 'pig', 'raise', 'oxen', 'goat']","[('breeding', 0.1859043334431073), ('chicken', 0.15875135786845046), ('livestock', 0.13761490054711276), ('poultry', 0.12650725334685325), ('fatten', 0.12489359795637427), ('sheep', 0.11898377069855312), ('pig', 0.1018057351086042), ('raise', 0.09884998465448246), ('oxen', 0.08129824929404048), ('goat', 0.07600419805131986)]"
0,-1,1836,Asia & Oceania,"['restaurant', 'household', 'trading', 'wholesale', 'hairstylist', 'middle', 'clothes', 'transaction', 'repair', 'grocery']","[('restaurant', 0.06470689526830842), ('household', 0.04401432643255464), ('trading', 0.03471332473998059), ('wholesale', 0.0327292846057681), ('hairstylist', 0.031094106681460416), ('middle', 0.030014312168205954), ('clothes', 0.02983839184082022), ('transaction', 0.029693286928321974), ('repair', 0.02916270185935124), ('grocery', 0.027955507286043905)]"
1,0,1070,Asia & Oceania,"['agriculture', 'fish', 'rice', 'chicken', 'farm', 'vegetable', 'bakery', 'fruit', 'salad', 'meat']","[('agriculture', 0.08367146245917384), ('fish', 0.06555261921164719), ('rice', 0.062078662773410995), ('chicken', 0.058711096832766256), ('farm', 0.0578577641456777), ('vegetable', 0.05497747406616909), ('bakery', 0.05438271408476361), ('fruit', 0.05406447735360371), ('salad', 0.03710511017536912), ('meat', 0.037073632947646096)]"
2,1,689,Asia & Oceania,"['mobile', 'phone', 'computer', 'electrical', 'appliance', 'electronic', 'software', 'repair', 'card', 'recharge']","[('mobile', 0.12303532552331463), ('phone', 0.11410080562617107), ('computer', 0.0917677143507348), ('electrical', 0.08065799110748223), ('appliance', 0.06970931494072098), ('electronic', 0.056563907081404775), ('software', 0.050519658638010397), ('repair', 0.04471575790295575), ('card', 0.04088067995813148), ('recharge', 0.0388067995243751)]"
3,2,629,Asia & Oceania,"['tailor', 'fashion', 'clothes', 'sewing', 'woman', 'clothing', 'textile', 'lingerie', 'garment', 'fabric']","[('tailor', 0.21292243336096314), ('fashion', 0.18099962475836326), ('clothes', 0.17230393999563942), ('sewing', 0.10746703231509715), ('woman', 0.09834960174363792), ('clothing', 0.09641289690241878), ('textile', 0.08827560748350301), ('lingerie', 0.07813299193709142), ('garment', 0.06650259960598175), ('fabric', 0.06347975416934622)]"
