,Topic,Count,region,topic_names,topics
0,-1,251,Africa,"['repair', 'maintenance', 'material', 'motorcycle', 'spare', 'mechanic', 'building', 'bicycle', 'supply', 'car']","[('repair', 0.1046922470058861), ('maintenance', 0.08821067040301377), ('material', 0.07720544966328488), ('motorcycle', 0.07377344025853559), ('spare', 0.06404121385896949), ('mechanic', 0.05873961306496597), ('building', 0.04699169045197278), ('bicycle', 0.04567380340822852), ('supply', 0.04436076086029782), ('car', 0.042892705385933476)]"
1,0,158,Africa,"['tuckshop', 'sweet', 'grocery', 'street', 'vendor', 'small', 'airtime', 'snack', 'chip', 'community']","[('tuckshop', 0.11750317726166641), ('sweet', 0.11298382429006386), ('grocery', 0.09179044158613822), ('street', 0.08842508959298971), ('vendor', 0.08539240120595898), ('small', 0.08170291923095278), ('airtime', 0.07963595965945475), ('snack', 0.07950634563649951), ('chip', 0.06330424557308195), ('community', 0.06065421654263962)]"
2,1,94,Africa,"['plantation', 'produce', 'vegetable', 'mill', 'cereal', 'garden', 'millet', 'tomato', 'sorghum', 'maize']","[('plantation', 0.10948833439975013), ('produce', 0.10432633839115676), ('vegetable', 0.0879168064978343), ('mill', 0.08486231251632473), ('cereal', 0.08195905048759337), ('garden', 0.08195905048759337), ('millet', 0.0793737848339412), ('tomato', 0.07171416917664421), ('sorghum', 0.0690026516213924), ('maize', 0.0690026516213924)]"
3,2,93,Africa,"['clothes', 'shoe', 'clothing', 'secondhand', 'print', 'dress', 'loinclothe', 'individual', 'weave', 'fashion']","[('clothes', 0.17222944935423537), ('shoe', 0.1631508706509745), ('clothing', 0.12075033883247557), ('secondhand', 0.11320344265544585), ('print', 0.06734712592138563), ('dress', 0.0625838003077745), ('loinclothe', 0.0625838003077745), ('individual', 0.05586546358006714), ('weave', 0.054736053710030014), ('fashion', 0.054736053710030014)]"
4,3,91,Africa,"['salon', 'hair', 'hairdresser', 'beauty', 'massage', 'hairdressing', 'manicure', 'spa', 'dresser', 'treatment']","[('salon', 0.37512023084676666), ('hair', 0.30590368944753693), ('hairdresser', 0.20674333534701422), ('beauty', 0.19084000185878233), ('massage', 0.08903561267056474), ('hairdressing', 0.08903561267056474), ('manicure', 0.08903561267056474), ('spa', 0.07152006245285601), ('dresser', 0.07152006245285601), ('treatment', 0.07152006245285601)]"
5,4,49,Africa,"['cafe', 'beer', 'table', 'beverage', 'pub', 'hire', 'kiosk', 'drink', 'soda', 'local']","[('cafe', 0.18244768903283412), ('beer', 0.1682862807527118), ('table', 0.12765561000847678), ('beverage', 0.12765561000847678), ('pub', 0.10849229812763751), ('hire', 0.10129687289002812), ('kiosk', 0.10129687289002812), ('drink', 0.09905983463295318), ('soda', 0.09574170750635759), ('local', 0.08293848938873907)]"
0,-1,438,Asia & Oceania,"['clothes', 'woman', 'clothing', 'online', 'cosmetic', 'sewing', 'beauty', 'shoe', 'secondhand', 'hairdresser']","[('clothes', 0.08306400221546738), ('woman', 0.07705605902093182), ('clothing', 0.05992808644762515), ('online', 0.057790238799556456), ('cosmetic', 0.05115609926211889), ('sewing', 0.050983804512042735), ('beauty', 0.050983804512042735), ('shoe', 0.04926722773109079), ('secondhand', 0.04259225104932132), ('hairdresser', 0.04116771035081403)]"
1,0,205,Asia & Oceania,"['car', 'repair', 'motorcycle', 'auto', 'workshop', 'common', 'motor', 'garage', 'mechanic', 'vehicle']","[('car', 0.16858907638746967), ('repair', 0.14950298347727306), ('motorcycle', 0.08112150174575047), ('auto', 0.07234891591913029), ('workshop', 0.06511402432721725), ('common', 0.06352775771134152), ('motor', 0.06073760912637474), ('garage', 0.05854149062792685), ('mechanic', 0.05206080782260693), ('vehicle', 0.048524595976014294)]"
2,1,128,Asia & Oceania,"['grocery', 'food', 'living', 'bakery', 'softdrink', 'deliver', 'fastfood', 'household', 'pastry', 'local']","[('grocery', 0.10635656695982906), ('food', 0.09561372204445753), ('living', 0.08351836008593237), ('bakery', 0.07918529222895795), ('softdrink', 0.05844518782318006), ('deliver', 0.047824242120148484), ('fastfood', 0.047824242120148484), ('household', 0.044184656314054375), ('pastry', 0.042224302531145286), ('local', 0.04184497620602475)]"
3,2,72,Asia & Oceania,"['real', 'estate', 'consultancy', 'financial', 'industry', 'consultancyant', 'agency', 'provide', 'law', 'magazine']","[('real', 0.17089247209046088), ('estate', 0.16564086874565584), ('consultancy', 0.11492347028692618), ('financial', 0.08856276787301753), ('industry', 0.08264181125461668), ('consultancyant', 0.06642207590476316), ('agency', 0.06400134618395263), ('provide', 0.05892633529052346), ('law', 0.05296357096595918), ('magazine', 0.05296357096595918)]"
