,0,1,2,3,4,5,region
0,construction,tuckshop,maize,drink,transport,clothing,Africa
1,material,sweet,plantation,beer,school,clothes,Africa
2,engineering,airtime,cereal,food,child,loinclothe,Africa
3,building,grocery,millet,beverage,taxi,weave,Africa
4,build,street,corn,popcorn,supply,hand,Africa
5,civil,vendor,cassava,soda,stationery,garment,Africa
6,electrical,snack,banana,wholesale,kid,fabric,Africa
7,repair,beverage,print,beauty,phone,restaurant,Asia & Oceania
8,car,food,social,salon,mobile,cafe,Asia & Oceania
9,transport,court,education,cosmetic,cellphone,restaurateur,Asia & Oceania
10,tire,samosa,medical,woman,app,resto,Asia & Oceania
11,auto,vadapav,health,hairdresser,recharge,korean,Asia & Oceania
12,spare,gutka,child,lingerie,cell,cafee,Asia & Oceania
13,oil,toffee,book,hair,center,bar,Asia & Oceania
14,clothing,art,energy,construction,goods,restaurant,Europe
15,clothes,craft,electronic,building,retail,restauration,Europe
16,textile,paint,electrical,build,trade,cuisine,Europe
17,fashion,handicraft,electricity,work,commerce,celebration,Europe
18,woman,graphic,heating,industry,industrial,food,Europe
19,sewinging,design,plumbing,builder,package,location,Europe
20,toy,artist,renewable,assembly,online,italy,Europe
21,food,clothing,workshop,meat,food,technology,North America
22,restaurant,clothes,design,fruit,dry,sport,North America
23,dinner,secondhand,art,agriculture,treat,training,North America
24,fry,print,steel,vegetable,health,consultancy,North America
25,truck,silkscreen,craft,chicken,,consultant,North America
26,bar,sewinging,graphic,landscape,,education,North America
27,snack,shirt,photography,stall,,student,North America
28,fastfood,clothes,restaurant,transport,agriculture,construction,Latin America & Caribbean
29,bar,laundry,bookstore,transportation,grain,housing,Latin America & Caribbean
30,juice,clothing,library,logistics,barn,architectural,Latin America & Caribbean
31,coffee,shirt,meal,freight,specifically,office,Latin America & Caribbean
32,livestock,secondhand,colombian,truck,root,design,Latin America & Caribbean
33,food,outer,bandeja,essential,drone,cable,Latin America & Caribbean
34,beer,jean,yellow,aggregate,marketer,batch,Latin America & Caribbean
