,0,1,2,3,4,5,region
0,canteen,bar,salon,retail,wash,restaurant,Africa
1,national,restore,hair,merchandise,car,accommodation,Africa
2,infirmary,provide,hairdresser,chlothe,cleaning,franchise,Africa
3,icecream,retail,beauty,varity,cleaninging,let,Africa
4,future,,massage,vet,water,class,Africa
5,export,,hairdressing,sawdust,chemical,bar,Africa
6,small,,manicure,prepay,fresh,businesspeople,Africa
7,car,restaurant,clothes,household,phone,sari,Asia & Oceania
8,repair,food,woman,city,computer,goods,Asia & Oceania
9,real,grocery,fashion,trade,mobile,condiment,Asia & Oceania
10,estate,living,clothing,province,cellphone,need,Asia & Oceania
11,aluminum,fruit,online,hcm,center,selling,Asia & Oceania
12,manufacture,vegetable,cosmetic,nang,recharge,house,Asia & Oceania
13,industry,bakery,beauty,thai,software,dry,Asia & Oceania
14,agriculture,clothing,restaurant,repair,construction,care,Europe
15,food,beauty,pub,car,furniture,therapy,Europe
16,production,textile,wine,computer,wood,sport,Europe
17,vegetable,salon,cater,metal,build,home,Europe
18,fruit,clothes,music,electronic,building,massage,Europe
19,meat,cosmetic,bar,maintenance,house,elderly,Europe
20,livestock,hairdresser,catering,electrical,woodworke,training,Europe
21,convenience,food,beauty,shoe,clothing,repair,North America
22,,night,salon,footwear,clothes,workshop,North America
23,,treat,cosmetic,clothes,secondhand,design,North America
24,,dry,makeup,woman,woman,computer,North America
25,,run,nail,manufacture,traditional,water,North America
26,,health,cosmetology,child,tailor,laundry,North America
27,,,hairstyle,import,designer,real,North America
28,car,food,clothes,agriculture,health,professional,Latin America & Caribbean
29,workshop,fastfood,laundry,yewerly,internationally,don,Latin America & Caribbean
30,manufacturing,fruit,clothing,plant,accord,print,Latin America & Caribbean
31,craft,commercialization,secondhand,landscape,achieve,,Latin America & Caribbean
32,repair,bar,trade,grain,aid,,Latin America & Caribbean
33,home,restaurant,shirt,nursery,require,,Latin America & Caribbean
34,manufacture,juice,machine,contribute,comprehensive,,Latin America & Caribbean
