region,yrsurv,Refuse,Rethink,Reduce,Reuse,Repair,Refurbish,Remanufacture,Repurpose,Recycle,Recover,weighted_sum,sum_score
Africa,2014.0,0.0320827476680278,0.41187829524278635,0.5652200877666473,0.31342532485723495,0.08163951151072975,0.2318946421146392,0.03791022300720207,0.4485111981630325,0.0610951883718371,0.4850012362003326,1.392834333248902,2.548841640673345
Asia & Oceania,2014.0,0.03576803393661975,0.4374830722808838,0.4964397698640823,0.28289440274238586,0.1571886986494064,0.3095489740371704,0.0728279501199722,0.4385348260402679,0.0782500766217708,0.4928966164588928,1.4319337623484896,2.6606497489847243
Europe,2014.0,0.0527125913649797,0.5037557482719421,0.41930694878101343,0.25317528098821634,0.169269248843193,0.29099124670028687,0.08926268108189098,0.4126026630401611,0.0848981216549873,0.511538103222847,1.4281072137877344,2.6350668144878
North America,2014.0,0.0453165173530578,0.4523469507694244,0.5147746205329895,0.3194374740123749,0.125077411532402,0.262685477733612,0.0276114959269762,0.4565580785274505,0.0519801452755928,0.5327861905097961,1.4688196417875585,2.7511964607983828
Latin America & Caribbean,2014.0,0.0335391536355018,0.4293753206729889,0.4663439691066742,0.2705698013305664,0.0748718678951263,0.2260034382343292,0.027430884540081,0.3956123292446136,0.0539259128272533,0.4905468225479126,1.2972134332172574,2.39608670421876
Africa,2015.0,0.0215110126882791,0.3992995619773865,0.5492224097251892,0.29244525730609894,0.1192823834717273,0.2208756729960441,0.045914523303508745,0.45429795980453486,0.081197902560234,0.4827544391155243,1.3893244282924568,2.616001711692661
Asia & Oceania,2015.0,0.02870586141943925,0.4159254431724548,0.5172317922115326,0.3057989031076431,0.13245370239019388,0.24018286913633347,0.033972630277276,0.44822828471660614,0.06495739519596094,0.49797452986240387,1.4187000467441975,2.6288913891476113
Europe,2015.0,0.0592229552567005,0.5134942531585693,0.4242450296878814,0.2573676407337188,0.1759594231843948,0.303530752658844,0.0798323675990104,0.4126026630401611,0.0877125784754753,0.5170745849609375,1.447307410184294,2.6845546474214643
North America,2015.0,0.0436360947787761,0.4256421327590942,0.4518935084342956,0.297017753124237,0.1016504392027854,0.2888363897800445,0.0321909673511981,0.454292356967926,0.0565045140683651,0.5089406967163086,1.3713343754410743,2.543778239749372
Latin America & Caribbean,2015.0,0.0298815164715051,0.4256421327590942,0.4633203446865082,0.247991606593132,0.081763669848442,0.2111751139163971,0.0307077746838331,0.3628142476081848,0.0519045181572437,0.476552665233612,1.2789438597857947,2.349696621124167
Africa,2016.0,0.0424668174237012,0.2476816661655903,0.664065957069397,0.5482552796602249,0.39701686054468155,0.43247754871845245,0.41390145570039744,0.7791332006454468,0.2951240241527557,0.6215693950653076,1.9022912649437782,3.9397317888215184
Asia & Oceania,2016.0,0.0629963874816894,0.3141190707683563,0.6019708216190338,0.576429545879364,0.2722879648208618,0.4731302708387375,0.33009491860866547,0.7699299454689026,0.29425689578056335,0.5062359273433685,1.9171460622921583,3.808275356888771
Europe,2016.0,0.07441120594739908,0.3532518744468689,0.5669644474983215,0.5487588942050934,0.24801613017916674,0.38026897609233856,0.30631130933761597,0.6373631358146667,0.31130238622426987,0.492115281522274,1.8725648986175656,3.6332320473156865
North America,2016.0,0.0473546721041202,0.31039001047611237,0.6215091943740845,0.5972652733325958,0.2950598001480102,0.4984238445758819,0.3837994635105133,0.7756488025188446,0.29813399910926813,0.5658233761787415,2.002422344684601,4.00325430277735
Latin America & Caribbean,2016.0,0.0447069033980369,0.27012768387794495,0.6257912814617157,0.5665562152862549,0.2358570694923401,0.4319548159837723,0.3291484117507934,0.7711122632026672,0.2763136923313141,0.5089660286903381,1.8314154385472647,3.712295149452984
Africa,2017.0,0.0686120390892028,0.2757454514503479,0.6060656309127808,0.5256154537200928,0.4014818966388702,0.4002439677715301,0.3278422057628631,0.7293804287910461,0.274696946144104,0.5449086427688599,1.8562263011932374,3.761766020208597
Asia & Oceania,2017.0,0.07620996236801142,0.35639542341232294,0.6164911985397339,0.5635654926300049,0.33982429653406143,0.44746212661266327,0.3830977231264114,0.7555985599756241,0.3172049820423126,0.5089796185493469,2.0073543593287466,3.959197823889554
Europe,2017.0,0.0723583456128835,0.337900698184967,0.5580342710018158,0.5317775756120682,0.22937868535518643,0.3565959557890892,0.3017014563083648,0.6282132118940353,0.30500452965497965,0.4718274101614952,1.794503466784954,3.5234048548154533
North America,2017.0,0.0636970102787017,0.3060779571533203,0.6242213398218155,0.5923376083374023,0.3254021555185318,0.5047937035560608,0.3921799659729004,0.7851114869117737,0.29318238794803614,0.5150133371353149,1.953610371891409,4.018474800512195
