region,yrsurv,Refuse,Rethink,Reduce,Reuse,Repair,Refurbish,Remanufacture,Repurpose,Recycle,Recover,weighted_sum
Africa,2014.0,0.09555148184299457,0.56834716796875,0.6972585260868072,0.46225205361843097,0.3567682415246962,0.47829719781875607,0.1451584696769713,0.697002649307251,0.15743190050125117,0.6125291645526886,1.855447676926851
Asia & Oceania,2014.0,0.10825854390859607,0.5791252851486206,0.644194805622101,0.46619826555252114,0.3951040506362915,0.47154882550239585,0.16121872663497927,0.6516878008842468,0.16204266250133514,0.6080405712127686,1.858446265757084
Europe,2014.0,0.1596676170825958,0.6272261321544648,0.5766895711421967,0.3967943787574768,0.35834949016571044,0.4912185668945312,0.18228786885738374,0.5991472065448762,0.19425219446420677,0.6253315031528474,1.9117856475617736
Latin America & Caribbean,2014.0,0.0891515091061592,0.5987292528152466,0.6408204317092897,0.4014274656772614,0.2935309410095215,0.3736394762992859,0.10450882762670524,0.605192244052887,0.1286187767982483,0.6090317964553833,1.750961571391672
North America,2014.0,0.1222444772720336,0.599515974521637,0.6760855913162231,0.4840355515480041,0.3940595090389251,0.4654558897018432,0.1203940734267234,0.6704351902008057,0.1448200643062591,0.6571849584579468,1.9543690189719198
Africa,2015.0,0.0778577998280525,0.5615054965019226,0.7005733609199524,0.42476095557212834,0.4070060551166534,0.4439473748207092,0.16580259799957278,0.6994032859802246,0.2090910255908966,0.6010006785392762,1.791913317823783
Asia & Oceania,2015.0,0.092533591389656,0.5915285348892213,0.6703208088874817,0.4600751757621766,0.3871959686279299,0.467175763845444,0.1259259283542633,0.6885492682456975,0.16473967730999,0.6307697057723999,1.9274747943691912
Europe,2015.0,0.14628393650054927,0.6370196461677552,0.5796880364418031,0.385819810628891,0.35883406996726996,0.47586244940757755,0.19376032352447506,0.5873741984367371,0.1843298614025116,0.6351802349090576,1.9060677306354046
Latin America & Caribbean,2015.0,0.1051657944917678,0.5887562632560731,0.6203458070755006,0.3945687174797059,0.3117707073688513,0.39264994263649006,0.1244710236787796,0.554762756824494,0.1279008984565735,0.6159482598304749,1.699725232375786
North America,2015.0,0.11876659542322154,0.5610801458358765,0.5937361240386968,0.4352848827838897,0.4085283696651463,0.4709770977497101,0.1527130156755447,0.6409270763397217,0.15147002041339902,0.6357066988945008,1.7996992099285127
Africa,2016.0,0.1027486994862556,0.3832008928060532,0.7168990969657898,0.6516221463680267,0.571544909477234,0.5545235931873322,0.5818582773208618,0.8524705171585083,0.4380940794944764,0.6932793974876403,2.2819086706358944
Asia & Oceania,2016.0,0.13016901910305026,0.4557143092155457,0.675002932548523,0.6890937089920046,0.5244477272033695,0.6069955229759217,0.5029822707176214,0.8513178825378418,0.4257280170917511,0.607101058959961,2.3084659065306194
Europe,2016.0,0.14663231372833252,0.476192781329155,0.6520340383052826,0.6604709744453431,0.4766554564237594,0.504751855134964,0.5195547521114352,0.7815917193889618,0.4271392136812211,0.6015797853469849,2.2475626269727944
Latin America & Caribbean,2016.0,0.0966030955314636,0.40910854935646057,0.6974243640899659,0.6548649668693542,0.48298044800758366,0.5348016619682312,0.5099042057991028,0.8724793195724487,0.4167052924633027,0.6106288433074951,2.2234474509954456
North America,2016.0,0.10420591384172435,0.4467777907848358,0.6764475584030153,0.6861714243888856,0.5189596772193908,0.6064364910125732,0.5290119290351868,0.8648027539253236,0.4779382050037384,0.64127277135849,2.2529963339865207
Africa,2017.0,0.10710359364748,0.4138200581073761,0.709444284439087,0.6080553054809572,0.535307013988495,0.4994270801544189,0.5404988646507264,0.854201078414917,0.4163315594196319,0.6562418341636658,2.2863788238167757
Asia & Oceania,2017.0,0.15289689749479304,0.48427583873271945,0.6998331606388092,0.6824266731739044,0.5824300348758698,0.572394746541977,0.5694884061813354,0.8560746252536775,0.4478622317314148,0.6250013649463654,2.445769379734993
Europe,2017.0,0.13872542381286626,0.45540894567966456,0.6429585516452789,0.6451913058757782,0.4495059907436372,0.4704602360725403,0.47769999504089355,0.7688059985637665,0.4180643260478974,0.601961612701416,2.160756984055042
Latin America & Caribbean,2017.0,0.08606413006782529,0.3943301141262054,0.6834598779678345,0.6591646373271942,0.4590508639812469,0.5649866461753845,0.5184195637702942,0.8631046116352081,0.4217832535505295,0.5985022783279419,2.1930972494184973
North America,2017.0,0.12196132540702814,0.4375173300504684,0.6998903155326843,0.6847327649593353,0.5436190962791443,0.6322741806507111,0.5429670512676239,0.8597999215126038,0.4374547749757767,0.6144540905952454,2.301838480401784
Africa,2018.0,0.13512118458747857,0.40127912163734436,0.6861902475357056,0.6421243309974671,0.5616068243980408,0.5025364756584167,0.5470160186290741,0.8462492823600769,0.4163315594196319,0.6377073526382446,2.2077476665377618
Asia & Oceania,2018.0,0.15684076845645906,0.4563940882682801,0.6882401645183563,0.6761926591396333,0.6091774404048921,0.5983822345733644,0.5481913685798645,0.8350480139255525,0.42044740021228794,0.6188863694667817,2.4186283096671106
Europe,2018.0,0.15404604673385613,0.44137042760849,0.6394300282001495,0.6357687175273895,0.3961982548236846,0.47966068983078,0.4627271950244903,0.7740566730499268,0.4156514406204223,0.5892340064048767,2.1410021168552333
Latin America & Caribbean,2018.0,0.0814860463142395,0.4134038090705871,0.6787026882171631,0.645586657524109,0.4931702613830566,0.5314169883728027,0.5149163603782654,0.8719699382781982,0.4438807964324951,0.5985022783279419,2.2339941844344136
North America,2018.0,0.2504016771912578,0.4474381297826767,0.6855995059013367,0.687033134698868,0.535222238302231,0.6516480445861816,0.5209011435508729,0.8597999215126038,0.4093203991651536,0.6103742957115176,2.2662412792444226
