,Topic,Count,region,topic_names,topics
0,-1,253,Africa,"['breedinging', 'goat', 'chicken', 'poultry', 'farm', 'animal', 'farming', 'home', 'meat', 'egg']","[('breedinging', 0.12348003571459985), ('goat', 0.11728705384386731), ('chicken', 0.10906530747205717), ('poultry', 0.1031618155317223), ('farm', 0.07712915555013337), ('animal', 0.07306972631065266), ('farming', 0.0717033152788295), ('home', 0.05885316965393828), ('meat', 0.05174094803006099), ('egg', 0.04637876335335887)]"
1,0,246,Africa,"['food', 'cater', 'catering', 'oil', 'cook', 'cereal', 'mill', 'fuel', 'snack', 'chip']","[('food', 0.10420197433891384), ('cater', 0.07879030537062362), ('catering', 0.06488613383463121), ('oil', 0.061334340178684506), ('cook', 0.053602304734552526), ('cereal', 0.05342963581005833), ('mill', 0.04502597964712454), ('fuel', 0.04502597964712454), ('snack', 0.042682507668818495), ('chip', 0.04028219059625576)]"
2,1,175,Africa,"['tuckshop', 'retail', 'vendor', 'grocery', 'street', 'small', 'airtime', 'sweet', 'supply', 'community']","[('tuckshop', 0.09912853800781905), ('retail', 0.0864257598070399), ('vendor', 0.08587260037234126), ('grocery', 0.08455401841758496), ('street', 0.07972926813226439), ('small', 0.07308996479455744), ('airtime', 0.05781353564109904), ('sweet', 0.05146766338461694), ('supply', 0.04714745829007664), ('community', 0.043830897093965204)]"
3,2,160,Africa,"['clothesing', 'clothese', 'shoe', 'secondhand', 'sewing', 'boutique', 'print', 'shirt', 'weave', 'individual']","[('clothesing', 0.14555379249751527), ('clothese', 0.13961246949905834), ('shoe', 0.1045790108117605), ('secondhand', 0.09175563603220654), ('sewing', 0.09011611268328334), ('boutique', 0.06226202242339347), ('print', 0.05446234761258024), ('shirt', 0.04860358939265565), ('weave', 0.04442994025897834), ('individual', 0.0413920686367306)]"
4,3,153,Africa,"['plantation', 'gardening', 'maize', 'vegetable', 'market', 'tomato', 'corn', 'banana', 'cassava', 'millet']","[('plantation', 0.1267339526265598), ('gardening', 0.1267339526265598), ('maize', 0.09925891466217834), ('vegetable', 0.09816471529567083), ('market', 0.09681360294998649), ('tomato', 0.09347247339803001), ('corn', 0.08425973801798364), ('banana', 0.08425973801798364), ('cassava', 0.08141308099438536), ('millet', 0.07045158458001972)]"
5,4,125,Africa,"['repair', 'transport', 'maintenance', 'motor', 'taxi', 'spare', 'rv', 'car', 'mechanical', 'school']","[('repair', 0.15235571026703235), ('transport', 0.1295339981034754), ('maintenance', 0.11305893651312025), ('motor', 0.10311645874862042), ('taxi', 0.09295320305158512), ('spare', 0.09265377321029956), ('rv', 0.07229693570678843), ('car', 0.07122725464388266), ('mechanical', 0.0669263711081409), ('school', 0.05593169541287452)]"
0,0,625,Asia & Oceania,"['trade', 'household', 'city', 'hcm', 'province', 'grocery', 'retail', 'nang', 'fish', 'car']","[('trade', 0.05327835660398565), ('household', 0.051834070881393565), ('city', 0.04085800198142116), ('hcm', 0.03814536680986488), ('province', 0.03774925887041776), ('grocery', 0.037232324429273086), ('retail', 0.03713982234971587), ('nang', 0.03248260244573981), ('fish', 0.031761798761403816), ('car', 0.027491802659835106)]"
1,-1,334,Asia & Oceania,"['beauty', 'furniture', 'salon', 'sewing', 'flower', 'woman', 'clothesing', 'decoration', 'paint', 'event']","[('beauty', 0.09078960673602793), ('furniture', 0.07673216020958804), ('salon', 0.0724918022161694), ('sewing', 0.06162346896705367), ('flower', 0.060388626686608105), ('woman', 0.0491916778149479), ('clothesing', 0.042105395522709595), ('decoration', 0.04120932376506143), ('paint', 0.03675289332669226), ('event', 0.03588893889402557)]"
2,1,262,Asia & Oceania,"['beverage', 'food', 'coffee', 'hookah', 'tea', 'drink', 'light', 'delivery', 'serve', 'reasonable']","[('beverage', 0.3172823145218676), ('food', 0.21265875401550519), ('coffee', 0.09804786105097249), ('hookah', 0.061104503629040505), ('tea', 0.06032639062801145), ('drink', 0.03664129793922403), ('light', 0.02290609490738484), ('delivery', 0.021189864705814014), ('serve', 0.017900433939167355), ('reasonable', 0.016896353927790663)]"
3,2,219,Asia & Oceania,"['construction', 'workshop', 'motorcycle', 'material', 'manufacture', 'build', 'car', 'garage', 'manufacturing', 'mechanic']","[('construction', 0.17274811026189768), ('workshop', 0.16873071234883028), ('motorcycle', 0.12767865932396122), ('material', 0.09910734619127642), ('manufacture', 0.07553247566373082), ('build', 0.07469427326866017), ('car', 0.058739128934969055), ('garage', 0.05420994535725065), ('manufacturing', 0.049060648604571856), ('mechanic', 0.048208774956808656)]"
