repair,commercial,salon,material,plantation,canteen,produce,restaurant,tuckshop,chicken,retail,child,furniture,bar,clothee,provider,commodity,beer,cleaning,window,trade,wash,restoration,shoe,cafe
spare,cosmetic,hair,hardware,mill,national,garden,accommodation,grocery,farm,merchandise,school,firewood,restore,secondhand,telecommunication,fuel,beverage,cleaninging,door,baby,car,catering,secondhand,table
maintenance,activity,hairdresser,building,cereal,infirmary,tomato,franchise,small,poultry,chlothe,kid,wood,provide,clothe,consultancyancy,gas,soda,water,open,form,laundry,tire,draw,hire
motorcycle,consumable,beauty,electronic,millet,icecream,vegetable,class,sweet,egg,varity,education,bed,retail,serowe,security,oil,drink,chemical,glass,secondhand,potential,retrading,insert,cafeeteria
mechanic,art,massage,electric,sorghum,hat,onion,let,community,breeding,vet,teach,woodwork,,bring,support,cylinder,drinking,fresh,weld,miscellaneous,serve,rennovation,specialise,cocktail
bicycle,graphic,hairdressing,cement,corn,cap,gardening,businesspeople,airtime,group,sawdust,year,etc,,church,provide,export,establishment,government,welding,,serowe,refection,dirty,cafee
garage,music,manicure,workshop,maize,future,market,university,stock,lay,prepay,sport,maker,,uniform,monitor,station,retailer,house,wooden,,wahing,recycling,lock,coffee
transportation,event,spa,mechanical,popcorn,export,wholesale,unavailable,vegetable,range,drugstore,parent,mattress,,dish,documentation,trade,rv,large,gate,,wadhe,braise,plastic,chair
motor,estate,dresser,construction,plantain,small,cashew,ginger,snack,broiler,bacon,age,optain,,second,comptuter,diesel,leftover,directory,frame,,typiacl,old,sall,evolve
wheel,agent,treatment,container,bean,,carrot,francistown,toiletry,large,bookshop,drive,salesman,,gent,cctv,convenient,bottle,start,unity,,away,kitchen,stall,boiler
restaurant,clothee,sari,car,refuse,tailor,coffee,appliance,computer,child,financial,fashion,manufacture,hairdresser,fish,furniture,phone,fruit,province,apartment,travel,cosmetic,tire,pork,photocopy
large,clotheing,piggery,kg,reject,sewinger,beverage,electrical,cybercafeee,education,consultancying,readywear,manufacturing,salon,farmer,gallery,mobile,farmer,da,lease,marketing,beauty,oil,chicken,photographer
secure,apparel,,taxi,deny,husband,cafe,electricity,tech,school,consultancyancy,imbutido,construction,hair,fishing,mold,cellphone,farm,nang,residential,bus,facial,spare,grill,photo
canteen,secondhand,,seller,detail,work,resto,electronic,discuss,kindergarten,consultancyant,,activity,woman,boat,upholstery,recharge,cow,dong,building,agency,online,change,pig,print
demand,clothe,,driver,cater,woman,drink,gas,technological,student,consultancy,,turnery,beauty,fishery,candle,cell,land,services,rent,tourism,cream,car,poultry,freelance
expensive,baby,,plate,kind,house,serve,solar,cybercafee,language,legal,,mushroom,makeup,fisherman,carpentry,card,agriculture,lam,house,transport,face,battery,roasted,stationary
liquer,female,,red,trade,,light,heat,internet,book,law,,metalworking,hairdressing,ice,office,center,almond,household,hire,advertise,skin,fix,egg,printing
junkshop,child,,vehicle,,,cafee,electric,high,parent,magazine,,production,bride,assi,hall,accessory,fig,haircutte,renovate,advertising,skincare,accessory,cook,photocopi
motel,kid,,motor,,,juice,mining,bas,institution,provide,,material,styling,river,light,load,feed,motorbike,commerical,band,care,motorcycle,selling,design
turkish,young,,gas,,,court,official,patent,afternoon,industry,,producer,nail,dry,decoration,prepaid,hay,incense,youth,site,direct,lubricant,farm,artist
agriculture,care,construction,salon,cleaning,bakery,vegetable,restaurant,wine,sport,industry,furniture,electronic,paint,goods,computer,rent,therapy,consultancyancy,landscape,refuse,car,textile,cater,tell
machinery,elderly,build,beauty,cleaninging,cake,fruit,bar,beverage,physiotherapy,market,woodworke,electrical,painting,trade,repair,rental,mental,management,gardening,refusal,repair,clothee,catering,don
forestry,medical,building,hairdresser,laundry,coffee,berry,lunch,beer,training,research,kitchen,appliance,artist,retail,information,apartment,psychology,consultancying,garden,edp,maintenance,trading,party,doesn
rural,home,work,hair,domestic,pastry,cultivation,snack,brandy,fitness,mechanical,sewinging,electric,art,purchase,specialist,camping,alternative,counselling,greenery,support,vehicle,toy,equipment,sweet
farmer,health,civil,nail,collection,bake,grow,celebration,tobacco,centre,production,floor,electrician,graphic,industrial,phone,leasing,motivational,consultancy,landscaping,inhabitant,replacement,trade,restaurant,dink
farm,disabled,structure,pedicure,support,cupcake,agriculture,cuisine,cigarette,yoga,green,manufacturing,household,tiler,small,acquaintance,tourism,spiritual,administrative,lawn,,engine,handmade,hostelry,stop
tourism,nurse,installation,hairdressing,clientele,bread,minibus,tapas,brewery,trainer,mope,production,automobile,artistic,add,register,holiday,natural,consultancyant,planting,,motor,client,cafeeteria,shut
agro,nursery,road,florist,cleaningliness,baguette,tree,food,spirit,train,inspection,beautiful,electricity,design,view,update,tourist,speech,project,earthmove,,passenger,costumer,tourist,secret
agrobusiness,childcare,industry,institute,beneficiary,tea,blueberry,hospitality,bottle,health,intruduce,cooking,mechanic,web,execution,nne,mountain,skill,medium,granate,,servicing,interest,accommodate,rh
processing,dental,concrete,manicure,campaign,hungarian,potato,desire,bottled,injury,argricultural,executive,charge,wall,feel,reform,pension,develop,wouldn,bathhouse,,wash,ass,wake,nn
food,beauty,restaurant,vegetable,cake,grocery,clotheing,water,convenience,consultancy,steel,furniture,auto,food,book,clotheing,phone,health,wash,electrical,shoe,meat,clothee,workshop,rent
night,salon,dinner,fruit,pastry,truck,casual,cleaning,,consultancying,art,timber,repair,native,great,tshirt,cell,medicine,car,appliance,factory,chicken,secondhand,mechanic,rental
treat,cosmetic,seafood,agriculture,coffee,wine,fabric,cleaninging,,student,stainless,chair,spare,,lesson,tailor,telephone,therapy,polish,refrigeration,repair,fresh,traditional,sewinging,property
dry,makeup,food,stall,fry,cart,brand,purification,,employee,iron,table,motorcycle,,write,designer,cellular,care,fhot,domestic,,fatten,street,bicycle,massive
run,nail,mexican,banana,juice,warehouse,textile,cleaninger,,financial,garment,firewood,mechanical,,publish,young,accessory,physical,detailed,repair,,poultry,vendoring,welding,house
health,cosmetology,supplyment,organic,plantain,wholesale,sisal,purify,,provide,door,manufacture,bicycle,,library,fashion,mobile,clinic,brass,handyman,,pork,flea,weld,equipment
,hair,weight,fresh,cupcake,station,jute,heater,,consultancyation,jewelry,carpentry,automotive,,letter,silkscreen,repair,center,light,household,,pig,elderly,panama,event
,therapeutic,establishment,horse,vegan,rice,towel,solar,,university,work,artistic,exclusive,,language,dress,inspirational,relate,hamburger,use,,lion,care,brake,social
,unisex,loss,produce,chocolate,shandler,decoration,eraser,,end,craft,joinery,servicing,,foreign,safety,expensive,practitioner,dog,device,,roasted,market,bumper,rehabilitate
,massage,cater,garden,puff,handcraft,seam,save,,law,gallery,woodworking,bus,,english,vintage,preparation,preventive,jewelry,employ,,gain,accessory,think,orient
clothee,agriculture,stall,manufacturing,health,workshop,professional,cleaning,pastry,craft,shoe,transport,furniture,industrial,greengrocery,restaurant,school,electrical,manufacture,phone,tailor,washing,goods,engineering,beauty
secondhand,plant,food,food,accord,car,,recycle,bakery,mining,footwear,bike,carpentry,machinery,grocery,delivery,consultancying,technician,clothee,booth,sewinging,motorcycle,beauty,,feminine
,landscape,,icecream,function,time,,goods,breakfast,pottery,woman,urban,home,street,delivery,distribution,activity,electric,glove,cabin,making,laundry,skin,,makeup
,nursery,,appear,teach,remiser,,environmental,occasion,doll,man,bicycle,lamp,sweet,,meal,communication,device,panela,cellphone,child,wash,cosmetic,,aesthetic
,gardening,,central,require,mileage,,cleaninging,bread,crochet,maker,passenger,decoration,engine,,away,management,ionic,mosquito,cell,woman,car,cream,,
,landscaping,,processing,nursing,individual,,waste,surprise,toy,bag,motorcycle,mattress,extract,,homemade,consultancy,welfare,traditional,rental,premise,machine,aesthetic,,
,garden,,machinemade,need,hire,,tank,special,small,accessory,rural,fitting,vendor,,pie,educational,locate,tamale,internet,open,rental,basis,,
,piece,,chinese,medicinal,driver,,disposable,day,fair,sportswear,transportation,hinge,commercial,,packaging,address,purifier,carnage,repair,garment,,definitive,,
,partner,,patty,medical,corporate,,provide,cake,adult,belt,informal,military,machine,,colombian,internet,electromagnetic,repellent,accesorie,textile,,eyelashe,,
,corner,,input,achieve,,,management,artisanal,school,earring,blacksmith,screw,cow,,cut,facil,air,costume,telephony,man,,facial,,
