"","region","term","b_p_val"
"1","Africa","(Intercept)","-4.793 ***"
"2","Africa","opportYes","0.298 ***"
"3","Africa","fearfailYes","0.067 "
"4","Africa","suskillYes","0.835 ***"
"5","Africa","nbgoodcYes","0.216 "
"6","Africa","nbstatusYes","-0.035 "
"7","Africa","nbmediaYes","0.21 "
"8","Africa","knowentYes","0.367 ***"
"9","Africa","genderFemale","-0.216 "
"10","Africa","age_group18-24","0.022 "
"11","Africa","age_group35-44","-0.176 "
"12","Africa","age_group45-54","-0.371 "
"13","Africa","age_group55-64","-0.581 ***"
"14","Africa","GEMEDUCSOME SECONDARY","0.059 "
"15","Africa","GEMEDUCSECONDARY DEGREE","0.323 "
"16","Africa","GEMEDUCPOST SECONDARY","0.135 "
"17","Africa","GEMEDUCGRAD EXP","-1.315 "
"18","Africa","GEMWORKRetired","-2.37 "
"19","Africa","GEMWORKHomemaker","-1.004 ***"
"20","Africa","GEMWORKStudent","-2.054 ***"
"21","Africa","GEMWORKNot working","-0.96 ***"
"22","Africa","GEMHHINCLow","0.196 "
"23","Africa","GEMHHINCHigh","0.192 "
