"","region","term","b_p_val"
"1","Asia","(Intercept)","0.023 "
"2","Asia","opportYes","0.073 ***"
"3","Asia","fearfailYes","-0.025 ***"
"4","Asia","suskillYes","0.121 ***"
"5","Asia","nbgoodcYes","0.018 ***"
"6","Asia","nbstatusYes","0.005 "
"7","Asia","nbmediaYes","0.018 ***"
"8","Asia","knowentYes","0.097 ***"
"9","Asia","genderFemale","-0.003 "
"10","Asia","age_group18-24","0.001 "
"11","Asia","age_group35-44","0 "
"12","Asia","age_group45-54","-0.023 ***"
"13","Asia","age_group55-64","-0.029 ***"
"14","Asia","GEMEDUCSOME SECONDARY","-0.013 "
"15","Asia","GEMEDUCSECONDARY DEGREE","-0.006 "
"16","Asia","GEMEDUCPOST SECONDARY","-0.01 "
"17","Asia","GEMEDUCGRAD EXP","0.014 "
"18","Asia","GEMWORKRetired","-0.082 ***"
"19","Asia","GEMWORKHomemaker","-0.08 ***"
"20","Asia","GEMWORKStudent","-0.106 ***"
"21","Asia","GEMWORKNot working","-0.076 ***"
"22","Asia","GEMHHINCLow","0.002 "
"23","Asia","GEMHHINCHigh","0.051 ***"
