"","region","term","b_p_val"
"1","Asia","(Intercept)","-5.609 ***"
"2","Asia","opportYes","0.621 ***"
"3","Asia","fearfailYes","-0.097 "
"4","Asia","suskillYes","0.968 ***"
"5","Asia","nbgoodcYes","0.213 ***"
"6","Asia","nbstatusYes","0.084 "
"7","Asia","nbmediaYes","0.217 ***"
"8","Asia","knowentYes","0.714 ***"
"9","Asia","genderFemale","-0.267 ***"
"10","Asia","age_group18-24","0.219 "
"11","Asia","age_group35-44","0.053 "
"12","Asia","age_group45-54","-0.172 "
"13","Asia","age_group55-64","-0.351 ***"
"14","Asia","GEMEDUCSOME SECONDARY","0.069 "
"15","Asia","GEMEDUCSECONDARY DEGREE","-0.02 "
"16","Asia","GEMEDUCPOST SECONDARY","0.083 "
"17","Asia","GEMEDUCGRAD EXP","-0.043 "
"18","Asia","GEMWORKRetired","-1.233 ***"
"19","Asia","GEMWORKHomemaker","-2.024 ***"
"20","Asia","GEMWORKStudent","-1.328 ***"
"21","Asia","GEMWORKNot working","-0.95 ***"
"22","Asia","GEMHHINCLow","-0.026 "
"23","Asia","GEMHHINCHigh","0.305 ***"
