"","region","term","b_p_val"
"1","Latin America","(Intercept)","-0.009 "
"2","Latin America","opportYes","0.063 ***"
"3","Latin America","fearfailYes","-0.063 ***"
"4","Latin America","suskillYes","0.192 ***"
"5","Latin America","nbgoodcYes","-0.004 "
"6","Latin America","nbstatusYes","0.014 ***"
"7","Latin America","nbmediaYes","0.005 "
"8","Latin America","knowentYes","0.149 ***"
"9","Latin America","genderFemale","-0.022 ***"
"10","Latin America","age_group18-24","-0.021 ***"
"11","Latin America","age_group35-44","-0.013 "
"12","Latin America","age_group45-54","-0.042 ***"
"13","Latin America","age_group55-64","-0.093 ***"
"14","Latin America","GEMEDUCSOME SECONDARY","0.016 "
"15","Latin America","GEMEDUCSECONDARY DEGREE","0.005 "
"16","Latin America","GEMEDUCPOST SECONDARY","0.01 "
"17","Latin America","GEMEDUCGRAD EXP","0.024 "
"18","Latin America","GEMWORKRetired","-0.112 ***"
"19","Latin America","GEMWORKHomemaker","-0.085 ***"
"20","Latin America","GEMWORKStudent","-0.163 ***"
"21","Latin America","GEMWORKNot working","-0.099 ***"
"22","Latin America","GEMHHINCLow","-0.022 ***"
"23","Latin America","GEMHHINCHigh","0.018 ***"
