"","region","term","b_p_val"
"1","Latin America","(Intercept)","-4.656 ***"
"2","Latin America","opportYes","0.302 ***"
"3","Latin America","fearfailYes","-0.202 ***"
"4","Latin America","suskillYes","1.126 ***"
"5","Latin America","nbgoodcYes","-0.031 "
"6","Latin America","nbstatusYes","0.101 "
"7","Latin America","nbmediaYes","0.019 "
"8","Latin America","knowentYes","0.533 ***"
"9","Latin America","genderFemale","-0.289 ***"
"10","Latin America","age_group18-24","-0.113 "
"11","Latin America","age_group35-44","-0.164 "
"12","Latin America","age_group45-54","-0.169 "
"13","Latin America","age_group55-64","-0.639 ***"
"14","Latin America","GEMEDUCSOME SECONDARY","0.353 "
"15","Latin America","GEMEDUCSECONDARY DEGREE","0.41 ***"
"16","Latin America","GEMEDUCPOST SECONDARY","0.376 ***"
"17","Latin America","GEMEDUCGRAD EXP","0.342 "
"18","Latin America","GEMWORKRetired","-1.421 ***"
"19","Latin America","GEMWORKHomemaker","-0.527 ***"
"20","Latin America","GEMWORKStudent","-1.189 ***"
"21","Latin America","GEMWORKNot working","-0.733 ***"
"22","Latin America","GEMHHINCLow","-0.171 "
"23","Latin America","GEMHHINCHigh","-0.019 "
